Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010611 | lrm: 1.00 | dt: 24071ms | tok/sec: 10,890 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.201816 | lrm: 1.00 | dt: 888ms | tok/sec: 295,116 | mfu: 12.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.082386 | lrm: 1.00 | dt: 935ms | tok/sec: 280,372 | mfu: 12.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.759513 | lrm: 1.00 | dt: 1034ms | tok/sec: 253,574 | mfu: 11.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.433337 | lrm: 1.00 | dt: 1071ms | tok/sec: 244,776 | mfu: 10.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.107570 | lrm: 1.00 | dt: 1065ms | tok/sec: 246,037 | mfu: 10.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.818989 | lrm: 1.00 | dt: 1069ms | tok/sec: 245,274 | mfu: 10.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.568892 | lrm: 1.00 | dt: 1140ms | tok/sec: 230,002 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.341811 | lrm: 1.00 | dt: 849ms | tok/sec: 308,766 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.135519 | lrm: 1.00 | dt: 968ms | tok/sec: 270,930 | mfu: 11.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.964974 | lrm: 1.00 | dt: 958ms | tok/sec: 273,581 | mfu: 11.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.805650 | lrm: 1.00 | dt: 1027ms | tok/sec: 255,322 | mfu: 11.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.659787 | lrm: 1.00 | dt: 782ms | tok/sec: 335,178 | mfu: 14.5% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 6.541114 | lrm: 1.00 | dt: 1067ms | tok/sec: 245,727 | mfu: 10.6% | epoch: 1 | remaining: 297s    
step 00014 (1.0%) | loss: 6.431610 | lrm: 1.00 | dt: 948ms | tok/sec: 276,606 | mfu: 12.0% | epoch: 1 | remaining: 296s    
step 00015 (1.3%) | loss: 6.332503 | lrm: 1.00 | dt: 1072ms | tok/sec: 244,623 | mfu: 10.6% | epoch: 1 | remaining: 295s    
step 00016 (1.6%) | loss: 6.250468 | lrm: 1.00 | dt: 1177ms | tok/sec: 222,791 | mfu: 9.7% | epoch: 1 | remaining: 294s    
step 00017 (2.0%) | loss: 6.170442 | lrm: 1.00 | dt: 1106ms | tok/sec: 237,082 | mfu: 10.3% | epoch: 1 | remaining: 293s    
step 00018 (2.4%) | loss: 6.091561 | lrm: 1.00 | dt: 1035ms | tok/sec: 253,184 | mfu: 11.0% | epoch: 1 | remaining: 292s    
step 00019 (2.7%) | loss: 6.021056 | lrm: 1.00 | dt: 951ms | tok/sec: 275,634 | mfu: 11.9% | epoch: 1 | remaining: 291s    
step 00020 (3.1%) | loss: 5.959578 | lrm: 1.00 | dt: 1080ms | tok/sec: 242,769 | mfu: 10.5% | epoch: 1 | remaining: 290s    
step 00021 (3.4%) | loss: 5.899023 | lrm: 1.00 | dt: 784ms | tok/sec: 334,393 | mfu: 14.5% | epoch: 1 | remaining: 289s    
step 00022 (3.7%) | loss: 5.848461 | lrm: 1.00 | dt: 829ms | tok/sec: 316,239 | mfu: 13.7% | epoch: 1 | remaining: 288s    
step 00023 (4.0%) | loss: 5.799883 | lrm: 1.00 | dt: 814ms | tok/sec: 322,027 | mfu: 13.9% | epoch: 1 | remaining: 287s    
step 00024 (4.2%) | loss: 5.760222 | lrm: 1.00 | dt: 842ms | tok/sec: 311,426 | mfu: 13.5% | epoch: 1 | remaining: 286s    
step 00025 (4.5%) | loss: 5.711754 | lrm: 1.00 | dt: 963ms | tok/sec: 272,172 | mfu: 11.8% | epoch: 1 | remaining: 286s    
step 00026 (4.8%) | loss: 5.669513 | lrm: 1.00 | dt: 974ms | tok/sec: 269,147 | mfu: 11.7% | epoch: 1 | remaining: 285s    
step 00027 (5.1%) | loss: 5.630070 | lrm: 1.00 | dt: 750ms | tok/sec: 349,470 | mfu: 15.1% | epoch: 1 | remaining: 284s    
step 00028 (5.4%) | loss: 5.595674 | lrm: 1.00 | dt: 1010ms | tok/sec: 259,545 | mfu: 11.2% | epoch: 1 | remaining: 283s    
step 00029 (5.7%) | loss: 5.559482 | lrm: 1.00 | dt: 993ms | tok/sec: 263,954 | mfu: 11.4% | epoch: 1 | remaining: 282s    
step 00030 (6.1%) | loss: 5.522819 | lrm: 1.00 | dt: 1068ms | tok/sec: 245,381 | mfu: 10.6% | epoch: 1 | remaining: 281s    
