Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011502 | lrm: 1.00 | dt: 15004ms | tok/sec: 17,471 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.173245 | lrm: 1.00 | dt: 634ms | tok/sec: 413,481 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.965381 | lrm: 1.00 | dt: 768ms | tok/sec: 341,479 | mfu: 8.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.557679 | lrm: 1.00 | dt: 671ms | tok/sec: 390,877 | mfu: 9.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.143593 | lrm: 1.00 | dt: 645ms | tok/sec: 406,214 | mfu: 9.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.778100 | lrm: 1.00 | dt: 794ms | tok/sec: 330,124 | mfu: 8.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.483069 | lrm: 1.00 | dt: 710ms | tok/sec: 369,194 | mfu: 8.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.239952 | lrm: 1.00 | dt: 789ms | tok/sec: 332,214 | mfu: 8.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.028476 | lrm: 1.00 | dt: 714ms | tok/sec: 367,005 | mfu: 8.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.843670 | lrm: 1.00 | dt: 825ms | tok/sec: 317,694 | mfu: 7.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.693575 | lrm: 1.00 | dt: 739ms | tok/sec: 354,495 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.554401 | lrm: 1.00 | dt: 840ms | tok/sec: 312,112 | mfu: 7.5% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.429753 | lrm: 1.00 | dt: 704ms | tok/sec: 372,444 | mfu: 9.0% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.331214 | lrm: 1.00 | dt: 821ms | tok/sec: 319,304 | mfu: 7.7% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.239815 | lrm: 1.00 | dt: 715ms | tok/sec: 366,573 | mfu: 8.9% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.158322 | lrm: 1.00 | dt: 692ms | tok/sec: 378,557 | mfu: 9.1% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.092579 | lrm: 1.00 | dt: 791ms | tok/sec: 331,293 | mfu: 8.0% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 6.027595 | lrm: 1.00 | dt: 777ms | tok/sec: 337,492 | mfu: 8.2% | epoch: 1 | remaining: 295s    
step 00018 (1.8%) | loss: 5.961586 | lrm: 1.00 | dt: 707ms | tok/sec: 370,954 | mfu: 9.0% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 5.902260 | lrm: 1.00 | dt: 711ms | tok/sec: 368,859 | mfu: 8.9% | epoch: 1 | remaining: 293s    
step 00020 (2.3%) | loss: 5.851761 | lrm: 1.00 | dt: 760ms | tok/sec: 344,906 | mfu: 8.3% | epoch: 1 | remaining: 292s    
step 00021 (2.5%) | loss: 5.800925 | lrm: 1.00 | dt: 695ms | tok/sec: 376,950 | mfu: 9.1% | epoch: 1 | remaining: 292s    
step 00022 (2.7%) | loss: 5.759090 | lrm: 1.00 | dt: 786ms | tok/sec: 333,653 | mfu: 8.1% | epoch: 1 | remaining: 291s    
step 00023 (3.0%) | loss: 5.717325 | lrm: 1.00 | dt: 670ms | tok/sec: 390,987 | mfu: 9.4% | epoch: 1 | remaining: 290s    
step 00024 (3.2%) | loss: 5.684652 | lrm: 1.00 | dt: 673ms | tok/sec: 389,454 | mfu: 9.4% | epoch: 1 | remaining: 290s    
step 00025 (3.4%) | loss: 5.643466 | lrm: 1.00 | dt: 666ms | tok/sec: 393,527 | mfu: 9.5% | epoch: 1 | remaining: 289s    
step 00026 (3.7%) | loss: 5.608086 | lrm: 1.00 | dt: 730ms | tok/sec: 359,131 | mfu: 8.7% | epoch: 1 | remaining: 288s    
step 00027 (3.9%) | loss: 5.574187 | lrm: 1.00 | dt: 603ms | tok/sec: 434,973 | mfu: 10.5% | epoch: 1 | remaining: 288s    
step 00028 (4.1%) | loss: 5.544219 | lrm: 1.00 | dt: 715ms | tok/sec: 366,631 | mfu: 8.9% | epoch: 1 | remaining: 287s    
step 00029 (4.4%) | loss: 5.513313 | lrm: 1.00 | dt: 759ms | tok/sec: 345,517 | mfu: 8.3% | epoch: 1 | remaining: 286s    
step 00030 (4.6%) | loss: 5.480702 | lrm: 1.00 | dt: 722ms | tok/sec: 363,310 | mfu: 8.8% | epoch: 1 | remaining: 285s    
